Time	Oxygen	Wind_GEOMAR	Wind_Dir_GEOMAR
1535865947	-0.20906	-0.298899	-0.152493
1535866478	-0.212197	-0.293706	-0.274806
1535867009	-0.201267	-0.298545	-0.49811
1535867541	-0.181858	-0.308479	-0.860352
1535868072	-0.178444	-0.308235	-0.466657
1535868603	-0.196806	-0.291471	0.382799
1535869135	-0.197469	-0.296889	-0.215056
1535869666	-0.202148	-0.303632	-0.48268
1535870197	-0.198013	-0.307294	-0.57179
1535870729	-0.204324	-0.286077	-0.843292
1535871260	-0.202791	-0.276403	-0.645338
1535871791	-0.19867	-0.234926	-0.875703
1535872323	-0.193366	-0.258022	-0.841479
1535872854	-0.196465	-0.271529	-0.98732
1535873386	-0.187542	-0.250541	-0.906784
1535873917	-0.165513	-0.211471	-0.920568
1535874448	-0.155095	-0.20398	-0.910772
1535874980	-0.176162	-0.185886	-0.824786
1535875511	-0.154951	-0.159919	-0.863457
1535876042	-0.154936	-0.116497	-0.904383
1535876574	-0.14139	-0.0541763	-0.924894
1535877105	-0.111954	-0.0123183	-0.940625
1535877636	-0.123224	0.0510421	-0.893342
1535878168	-0.135376	0.0411388	-0.882094
1535878699	-0.124574	0.0707305	-0.815164
1535879230	-0.102518	0.131419	-0.771683
1535879762	-0.0622704	0.110478	-0.837028
1535880293	-0.127322	0.0543944	-0.909697
1535880824	-0.127127	0.0385479	-0.874506
1535881356	-0.117255	0.0947793	-0.774053
1535881887	-0.100214	0.104971	-0.772297
1535882418	-0.11313	0.0657127	-0.83444
1535882950	-0.0992547	0.0564641	-0.878749
1535883481	-0.0962857	0.11184	-0.907124
1535884013	-0.0719622	0.0735155	-0.897339
1535884544	-0.0474476	0.105526	-0.907561
1535885075	-0.0645045	0.0722052	-0.954507
1535885607	-0.0815596	0.060009	-0.975194
1535886138	-0.0638477	0.060009	-0.862184
1535886669	-0.0824941	0.0379719	-0.864526
1535887201	-0.0929329	-0.00599296	-0.929906
